MatchDate;LeagueId;Home;Away;Score;Band;Round;MatchStatus;HG;AG;Goals;Over25;BTTS;PredictionDate;Reason;RankingGapScore;HomeAttackScore;AwayAttackScore;HomeDefenseWeaknessScore;AwayDefenseWeaknessScore;HomeLast10OverScore;AwayLast10OverScore;HomeVenueOverScore;AwayVenueOverScore;BTTSProfileScore;AlgorithmVersion;HomeSourceLeagueId;AwaySourceLeagueId;CompetitionGroup
;Finland_Ykkonen;KPV;Keski-Uusimaa;69.93;MEDIA;13;FINAL;1;3;4;OK;OK;2026-06-28;buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;;;;;;;;;;;v21;;;
;Finland_Ykkonen;OLS Oulu;KuPS Akatemia;77.48;ALTA;13;FINAL;2;2;4;OK;OK;2026-06-28;buon attacco casa, buon attacco trasferta, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno;;;;;;;;;;;v21;;;
;Finland_Ykkosliiga;KaPa;JaPS;50.56;BASSA;13;FINAL;3;1;4;OK;OK;2026-06-28;difesa casa vulnerabile, trend over recente casa, buon profilo over interno;;;;;;;;;;;v21;;;
;Iceland_BestaDeildKarla;Hafnarfjordur;Vestmannaeyjar;83.86;ALTA;17;FINAL;1;1;2;KO;OK;2026-06-28;buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over esterno, alta tendenza BTTS;;;;;;;;;;;v21;;;
;Iceland_BestaDeildKarla;Keflavik;KR Reykjavik;84.84;ALTA;17;FINAL;3;2;5;OK;OK;2026-06-28;buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over esterno, alta tendenza BTTS;;;;;;;;;;;v21;;;
;Iceland_BestaDeildKarla;Stjarnan;Akureyri;80.68;ALTA;17;FINAL;3;1;4;OK;OK;2026-06-28;buon attacco casa, buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;;;;;;;;;;;v21;;;
;Iceland_BestaDeildKarla;Thor Akureyri;Valur;74.75;MEDIA;17;FINAL;2;4;6;OK;OK;2026-06-28;buon attacco trasferta, difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;;;;;;;;;;;v21;;;
;Norway_2ndDivision_Group1;Sotra;Jerv;75.25;ALTA;13;FINAL;1;3;4;OK;OK;2026-06-28;buon attacco casa, buon attacco trasferta, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;;;;;;;;;;;v21;;;
;Norway_2ndDivision_Group2;Follo;Levanger;79.94;ALTA;13;FINAL;0;2;2;KO;KO;2026-06-28;buon attacco trasferta, difesa casa vulnerabile, trend over recente casa, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;;;;;;;;;;;v21;;;
;Norway_2ndDivision_Group2;Skeid;Trygg/Lade;73.69;MEDIA;13;FINAL;7;1;8;OK;OK;2026-06-28;difesa casa vulnerabile, difesa trasferta vulnerabile, trend over recente trasferta, buon profilo over interno, buon profilo over esterno, alta tendenza BTTS;;;;;;;;;;;v21;;;
