Team;LeagueId;Serie
Paredes;Portugal_Liga3_SerieA;Serie A
AD Marco 09;Portugal_Liga3_SerieA;Serie A
Varzim;Portugal_Liga3_SerieA;Serie A
Leca;Portugal_Liga3_SerieA;Serie A
S. Joao Ver;Portugal_Liga3_SerieA;Serie A
Fafe;Portugal_Liga3_SerieA;Serie A
SC Vianense;Portugal_Liga3_SerieA;Serie A
Ferreira;Portugal_Liga3_SerieA;Serie A
Trofense;Portugal_Liga3_SerieA;Serie A
Guimaraes B;Portugal_Liga3_SerieA;Serie A
Mafra;Portugal_Liga3_SerieB;Serie B
Covilha;Portugal_Liga3_SerieB;Serie B
Atletico;Portugal_Liga3_SerieB;Serie B
Os Belenenses;Portugal_Liga3_SerieB;Serie B
Oliveirense;Portugal_Liga3_SerieB;Serie B
Louletano;Portugal_Liga3_SerieB;Serie B
Santarem;Portugal_Liga3_SerieB;Serie B
Caldas;Portugal_Liga3_SerieB;Serie B
Lusitano GC;Portugal_Liga3_SerieB;Serie B
Vitoria Sernache;Portugal_Liga3_SerieB;Serie B
