LeagueId;Round;Home;Away;Match;Score;Band;RankingGapComponent;HomeAttackComponent;AwayDefenseWeaknessComponent;HomeLast10OverComponent;AwayLast10OverComponent;Reason
Australia_TasmaniaSouthernChampionship_2026;13;Olympia Warriors;University of Tasmania;Olympia Warriors - University of Tasmania;83.24;ALTA;6.24;25.0;25.0;13.5;13.5;Ranking gap: 0.312 | Attacco casa: 3.09/gara | Difesa trasferta subisce: 3.58/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 0.90
Australia_TasmaniaSouthernChampionship_2026;13;Glenorchy Knights U21;South Hobart U21;Glenorchy Knights U21 - South Hobart U21;77.7;ALTA;6.02;25.0;18.18;15.0;13.5;Ranking gap: 0.301 | Attacco casa: 3.10/gara | Difesa trasferta subisce: 1.82/gara | Over25 casa ultime10: 1.00 | Over25 trasferta ultime10: 0.90
Australia_NPLWesternAustralia_2026;17;Bayswater City;Perth RedStar;Bayswater City - Perth RedStar;63.78;MEDIA-ALTA;0.78;25.0;14.0;13.5;10.5;Ranking gap: 0.039 | Attacco casa: 2.56/gara | Difesa trasferta subisce: 1.40/gara | Over25 casa ultime10: 0.90 | Over25 trasferta ultime10: 0.70
Australia_NSWLeagueOne_2026;22;Blacktown Spartans;Rydalmere Lions;Blacktown Spartans - Rydalmere Lions;63.03;MEDIA-ALTA;4.48;23.33;15.71;10.5;9.0;Ranking gap: 0.224 | Attacco casa: 2.33/gara | Difesa trasferta subisce: 1.57/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.60
Australia_NPL_NSW_U20_2026;22;Sydney FC U20;Sydney Utd U20;Sydney FC U20 - Sydney Utd U20;59.98;MEDIA;1.74;20.5;15.24;10.5;12.0;Ranking gap: 0.087 | Attacco casa: 2.05/gara | Difesa trasferta subisce: 1.52/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.80
Australia_QueenslandPremierLeague_2026;17;Brisbane Strikers;Ipswich;Brisbane Strikers - Ipswich;59.46;MEDIA;2.46;24.38;13.12;10.5;9.0;Ranking gap: 0.123 | Attacco casa: 2.44/gara | Difesa trasferta subisce: 1.31/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.60
Australia_NPLQueensland_2026;17;Rochedale;Gold Coast Knights;Rochedale - Gold Coast Knights;58.71;MEDIA;4.16;15.62;16.43;12.0;10.5;Ranking gap: 0.208 | Attacco casa: 1.56/gara | Difesa trasferta subisce: 1.64/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.70
Australia_QueenslandPremierLeague_2026;17;Holland Park Hawks;Redlands;Holland Park Hawks - Redlands;57.9;MEDIA;2.32;16.25;15.33;12.0;12.0;Ranking gap: 0.116 | Attacco casa: 1.62/gara | Difesa trasferta subisce: 1.53/gara | Over25 casa ultime10: 0.80 | Over25 trasferta ultime10: 0.80
Australia_VictoriaPremierLeague2_2026;19;Keilor Park;Moreland City;Keilor Park - Moreland City;56.02;MEDIA;5.62;13.53;21.88;4.5;10.5;Ranking gap: 0.281 | Attacco casa: 1.35/gara | Difesa trasferta subisce: 2.19/gara | Over25 casa ultime10: 0.30 | Over25 trasferta ultime10: 0.70
USA_USLLeagueTwo_Northeast_2026;25;Seacoast United Phantoms;Boston Bolts;Seacoast United Phantoms - Boston Bolts;52.53;MEDIA;15.86;0.0;23.33;0.0;13.33;Ranking gap: 0.793 | Attacco casa: 0.00/gara | Difesa trasferta subisce: 2.33/gara | Over25 casa ultime10: 0.00 | Over25 trasferta ultime10: 0.89
Australia_NPLVictoria_2026;19;Dandenong City;Avondale FC;Dandenong City - Avondale FC;50.59;MEDIA;2.92;14.44;12.22;7.5;13.5;Ranking gap: 0.146 | Attacco casa: 1.44/gara | Difesa trasferta subisce: 1.22/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 0.90
Australia_NPLVictoria_2026;19;Heidelberg;Oakleigh;Heidelberg - Oakleigh;46.73;MEDIA;2.62;16.67;9.44;10.5;7.5;Ranking gap: 0.131 | Attacco casa: 1.67/gara | Difesa trasferta subisce: 0.94/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.50
Australia_NPLVictoria_2026;19;Bentleigh;Altona Magic;Bentleigh - Altona Magic;46.04;MEDIA;0.82;9.44;17.78;10.5;7.5;Ranking gap: 0.041 | Attacco casa: 0.94/gara | Difesa trasferta subisce: 1.78/gara | Over25 casa ultime10: 0.70 | Over25 trasferta ultime10: 0.50
USA_USLLeagueTwo_SouthFlorida_2026;16;Brevard SC;Weston FC;Brevard SC - Weston FC;45.38;MEDIA;14.82;18.89;0.0;11.67;0.0;Ranking gap: 0.741 | Attacco casa: 1.89/gara | Difesa trasferta subisce: 0.00/gara | Over25 casa ultime10: 0.78 | Over25 trasferta ultime10: 0.00
Australia_NPLVictoria_2026;19;St Albans;Melbourne City U21;St Albans - Melbourne City U21;41.82;BASSA;2.44;11.11;11.76;9.0;7.5;Ranking gap: 0.122 | Attacco casa: 1.11/gara | Difesa trasferta subisce: 1.18/gara | Over25 casa ultime10: 0.60 | Over25 trasferta ultime10: 0.50
USA_USLLeagueTwo_MidSouth_2026;17;Hattiesburg FC;Jackson Boom;Hattiesburg FC - Jackson Boom;41.57;BASSA;8.0;0.0;25.0;0.0;8.57;Ranking gap: 0.400 | Attacco casa: 0.00/gara | Difesa trasferta subisce: 2.57/gara | Over25 casa ultime10: 0.00 | Over25 trasferta ultime10: 0.57
Australia_SAStateLeague_2026;17;Eastern United;Cumberland Utd.;Eastern United - Cumberland Utd.;40.63;BASSA;4.26;11.25;13.12;4.5;7.5;Ranking gap: 0.213 | Attacco casa: 1.12/gara | Difesa trasferta subisce: 1.31/gara | Over25 casa ultime10: 0.30 | Over25 trasferta ultime10: 0.50
USA_USLLeagueTwo_Mountain_2026;23;Flatirons FC;Utah United;Flatirons FC - Utah United;37.4;BASSA;17.9;0.0;9.0;0.0;10.5;Ranking gap: 0.895 | Attacco casa: 0.00/gara | Difesa trasferta subisce: 0.90/gara | Over25 casa ultime10: 0.00 | Over25 trasferta ultime10: 0.70
USA_USLLeagueTwo_SouthCentral_2026;17;Birmingham Legion FC II;Swarm FC;Birmingham Legion FC II - Swarm FC;37.36;BASSA;17.92;0.0;7.78;0.0;11.67;Ranking gap: 0.896 | Attacco casa: 0.00/gara | Difesa trasferta subisce: 0.78/gara | Over25 casa ultime10: 0.00 | Over25 trasferta ultime10: 0.78
Australia_NPLNSW_2026;22;Sydney FC U23;Sydney Utd;Sydney FC U23 - Sydney Utd;36.56;BASSA;2.46;14.0;8.1;7.5;4.5;Ranking gap: 0.123 | Attacco casa: 1.40/gara | Difesa trasferta subisce: 0.81/gara | Over25 casa ultime10: 0.50 | Over25 trasferta ultime10: 0.30
USA_USLLeagueTwo_Metropolitan_2026;24;Long Island Rough Riders;Cedar Stars;Long Island Rough Riders - Cedar Stars;0.0;BASSA;0.0;0.0;0.0;0.0;0.0;Ranking gap: 0.000 | Attacco casa: 0.00/gara | Difesa trasferta subisce: 0.00/gara | Over25 casa ultime10: 0.00 | Over25 trasferta ultime10: 0.00
