Profile;MatchId;PredictionDate;MatchDate;LeagueId;Home;Away;Outcome;OriginalScore;NewScore;ScoreDelta;OriginalBand;NewBand;SignalCount;ActiveSignals
BASELINE;1;2026-07-06;;Iceland_BestaDeildKarla;Keflavik;Fram;KO;74.76;74.76;0.0;MEDIA;MEDIA;0;
ACCUMULATION_LIGHT;1;2026-07-06;;Iceland_BestaDeildKarla;Keflavik;Fram;KO;74.76;74.76;0.0;MEDIA;MEDIA;0;
ACCUMULATION_MEDIUM;1;2026-07-06;;Iceland_BestaDeildKarla;Keflavik;Fram;KO;74.76;74.76;0.0;MEDIA;MEDIA;0;
ACCUMULATION_STRONG;1;2026-07-06;;Iceland_BestaDeildKarla;Keflavik;Fram;KO;74.76;74.76;0.0;MEDIA;MEDIA;0;
THREE_SIGNALS_LIGHT;1;2026-07-06;;Iceland_BestaDeildKarla;Keflavik;Fram;KO;74.76;74.76;0.0;MEDIA;MEDIA;0;
THREE_SIGNALS_MEDIUM;1;2026-07-06;;Iceland_BestaDeildKarla;Keflavik;Fram;KO;74.76;74.76;0.0;MEDIA;MEDIA;0;
THREE_SIGNALS_STRONG;1;2026-07-06;;Iceland_BestaDeildKarla;Keflavik;Fram;KO;74.76;74.76;0.0;MEDIA;MEDIA;0;
FOUR_SIGNALS_MEDIUM;1;2026-07-06;;Iceland_BestaDeildKarla;Keflavik;Fram;KO;74.76;74.76;0.0;MEDIA;MEDIA;0;
FOUR_SIGNALS_STRONG;1;2026-07-06;;Iceland_BestaDeildKarla;Keflavik;Fram;KO;74.76;74.76;0.0;MEDIA;MEDIA;0;
BASELINE;2;2026-07-06;;Latvia_Virsliga;Super Nova;Ogre United;OK;65.62;65.62;0.0;MEDIA;MEDIA;2;HomePPGLow | HomeWinsLow
ACCUMULATION_LIGHT;2;2026-07-06;;Latvia_Virsliga;Super Nova;Ogre United;OK;65.62;64.62;-1.0;MEDIA;MEDIA;2;HomePPGLow | HomeWinsLow
ACCUMULATION_MEDIUM;2;2026-07-06;;Latvia_Virsliga;Super Nova;Ogre United;OK;65.62;63.62;-2.0;MEDIA;MEDIA;2;HomePPGLow | HomeWinsLow
ACCUMULATION_STRONG;2;2026-07-06;;Latvia_Virsliga;Super Nova;Ogre United;OK;65.62;62.62;-3.0;MEDIA;MEDIA;2;HomePPGLow | HomeWinsLow
THREE_SIGNALS_LIGHT;2;2026-07-06;;Latvia_Virsliga;Super Nova;Ogre United;OK;65.62;65.62;0.0;MEDIA;MEDIA;2;HomePPGLow | HomeWinsLow
THREE_SIGNALS_MEDIUM;2;2026-07-06;;Latvia_Virsliga;Super Nova;Ogre United;OK;65.62;65.62;0.0;MEDIA;MEDIA;2;HomePPGLow | HomeWinsLow
THREE_SIGNALS_STRONG;2;2026-07-06;;Latvia_Virsliga;Super Nova;Ogre United;OK;65.62;65.62;0.0;MEDIA;MEDIA;2;HomePPGLow | HomeWinsLow
FOUR_SIGNALS_MEDIUM;2;2026-07-06;;Latvia_Virsliga;Super Nova;Ogre United;OK;65.62;65.62;0.0;MEDIA;MEDIA;2;HomePPGLow | HomeWinsLow
FOUR_SIGNALS_STRONG;2;2026-07-06;;Latvia_Virsliga;Super Nova;Ogre United;OK;65.62;65.62;0.0;MEDIA;MEDIA;2;HomePPGLow | HomeWinsLow
BASELINE;3;2026-07-06;;Lithuania_Toplyga;Suduva;Transinvest;KO;59.5;59.5;0.0;BASSA;BASSA;0;
ACCUMULATION_LIGHT;3;2026-07-06;;Lithuania_Toplyga;Suduva;Transinvest;KO;59.5;59.5;0.0;BASSA;BASSA;0;
ACCUMULATION_MEDIUM;3;2026-07-06;;Lithuania_Toplyga;Suduva;Transinvest;KO;59.5;59.5;0.0;BASSA;BASSA;0;
ACCUMULATION_STRONG;3;2026-07-06;;Lithuania_Toplyga;Suduva;Transinvest;KO;59.5;59.5;0.0;BASSA;BASSA;0;
THREE_SIGNALS_LIGHT;3;2026-07-06;;Lithuania_Toplyga;Suduva;Transinvest;KO;59.5;59.5;0.0;BASSA;BASSA;0;
THREE_SIGNALS_MEDIUM;3;2026-07-06;;Lithuania_Toplyga;Suduva;Transinvest;KO;59.5;59.5;0.0;BASSA;BASSA;0;
THREE_SIGNALS_STRONG;3;2026-07-06;;Lithuania_Toplyga;Suduva;Transinvest;KO;59.5;59.5;0.0;BASSA;BASSA;0;
FOUR_SIGNALS_MEDIUM;3;2026-07-06;;Lithuania_Toplyga;Suduva;Transinvest;KO;59.5;59.5;0.0;BASSA;BASSA;0;
FOUR_SIGNALS_STRONG;3;2026-07-06;;Lithuania_Toplyga;Suduva;Transinvest;KO;59.5;59.5;0.0;BASSA;BASSA;0;
BASELINE;4;2026-07-06;;Sweden_Allsvenskan;Brommapojkarna;GAIS;KO;66.62;66.62;0.0;MEDIA;MEDIA;0;
ACCUMULATION_LIGHT;4;2026-07-06;;Sweden_Allsvenskan;Brommapojkarna;GAIS;KO;66.62;66.62;0.0;MEDIA;MEDIA;0;
ACCUMULATION_MEDIUM;4;2026-07-06;;Sweden_Allsvenskan;Brommapojkarna;GAIS;KO;66.62;66.62;0.0;MEDIA;MEDIA;0;
ACCUMULATION_STRONG;4;2026-07-06;;Sweden_Allsvenskan;Brommapojkarna;GAIS;KO;66.62;66.62;0.0;MEDIA;MEDIA;0;
THREE_SIGNALS_LIGHT;4;2026-07-06;;Sweden_Allsvenskan;Brommapojkarna;GAIS;KO;66.62;66.62;0.0;MEDIA;MEDIA;0;
THREE_SIGNALS_MEDIUM;4;2026-07-06;;Sweden_Allsvenskan;Brommapojkarna;GAIS;KO;66.62;66.62;0.0;MEDIA;MEDIA;0;
THREE_SIGNALS_STRONG;4;2026-07-06;;Sweden_Allsvenskan;Brommapojkarna;GAIS;KO;66.62;66.62;0.0;MEDIA;MEDIA;0;
FOUR_SIGNALS_MEDIUM;4;2026-07-06;;Sweden_Allsvenskan;Brommapojkarna;GAIS;KO;66.62;66.62;0.0;MEDIA;MEDIA;0;
FOUR_SIGNALS_STRONG;4;2026-07-06;;Sweden_Allsvenskan;Brommapojkarna;GAIS;KO;66.62;66.62;0.0;MEDIA;MEDIA;0;
BASELINE;5;2026-07-06;;Sweden_Allsvenskan;Hacken;Djurgarden;OK;79.82;79.82;0.0;ALTA;ALTA;0;
ACCUMULATION_LIGHT;5;2026-07-06;;Sweden_Allsvenskan;Hacken;Djurgarden;OK;79.82;79.82;0.0;ALTA;ALTA;0;
ACCUMULATION_MEDIUM;5;2026-07-06;;Sweden_Allsvenskan;Hacken;Djurgarden;OK;79.82;79.82;0.0;ALTA;ALTA;0;
ACCUMULATION_STRONG;5;2026-07-06;;Sweden_Allsvenskan;Hacken;Djurgarden;OK;79.82;79.82;0.0;ALTA;ALTA;0;
THREE_SIGNALS_LIGHT;5;2026-07-06;;Sweden_Allsvenskan;Hacken;Djurgarden;OK;79.82;79.82;0.0;ALTA;ALTA;0;
THREE_SIGNALS_MEDIUM;5;2026-07-06;;Sweden_Allsvenskan;Hacken;Djurgarden;OK;79.82;79.82;0.0;ALTA;ALTA;0;
THREE_SIGNALS_STRONG;5;2026-07-06;;Sweden_Allsvenskan;Hacken;Djurgarden;OK;79.82;79.82;0.0;ALTA;ALTA;0;
FOUR_SIGNALS_MEDIUM;5;2026-07-06;;Sweden_Allsvenskan;Hacken;Djurgarden;OK;79.82;79.82;0.0;ALTA;ALTA;0;
FOUR_SIGNALS_STRONG;5;2026-07-06;;Sweden_Allsvenskan;Hacken;Djurgarden;OK;79.82;79.82;0.0;ALTA;ALTA;0;
BASELINE;6;2026-07-06;;USA_MLSNextPro_EasternConference_SoutheastDivision;Crown Legacy;Orlando City B;KO;79.79;79.79;0.0;ALTA;ALTA;0;
