LeagueId;Country;League;Teams;ExpectedRounds;HomeAway;NotesNorway_3rdDivision_Group1_2026;Norway;3rd Division Group 1;2026;14;26;Yes;Round 12 currently partial in supplied data
Austria_Bundesliga;Austria;Bundesliga;;;;;;;;;;;
Austria_2Liga;Austria;2. Liga;;;;;;;;;;;
Austria_Regionalliga_East;Austria;Regionalliga East;;;;;;;;;;;
Austria_Regionalliga_Central;Austria;Regionalliga Central;;;;;;;;;;;
Austria_Regionalliga_West;Austria;Regionalliga West;;;;;;;;;;;
Denmark_Superliga;Denmark;Superliga;;;;;;;;;;;
France_Ligue1;France;Ligue 1;;;;;;;;;;;
France_Ligue2;France;Ligue 2;;;;;;;;;;;
France_National;France;National;;;;;;;;;;;
Germany_Bundesliga;Germany;Bundesliga;;;;;;;;;;;
Germany_Regionalliga_Nordost;Germany;Regionalliga Nordost;;;;;;;;;;;
Indonesia_SuperLeague;Indonesia;Super League;;;;;;;;;;;
Indonesia_Championship;Indonesia;Championship;;;;;;;;;;;
England_PremierLeague;England;Premier League;;;;;;;;;;;
England_Championship;England;Championship;;;;;;;;;;;
England_LeagueOne;England;League One;;;;;;;;;;;
Italy_SerieA;Italy;Serie A;;;;;;;;;;;
Italy_SerieB;Italy;Serie B;;;;;;;;;;;
Italy_SerieC_GironeA;Italy;Serie C Girone A;;;;;;;;;;;
Italy_SerieC_GironeB;Italy;Serie C Girone B;;;;;;;;;;;
Italy_SerieC_GironeC;Italy;Serie C Girone C;;;;;;;;;;;
Norway_Eliteserien;Norway;Eliteserien;;;;;;;;;;;
Netherlands_Eredivisie;Netherlands;Eredivisie;;;;;;;;;;;
Netherlands_EersteDivisie;Netherlands;Eerste Divisie;;;;;;;;;;;
Portugal_LigaPortugal;Portugal;Liga Portugal;;;;;;;;;;;
Portugal_LigaPortugal2;Portugal;Liga Portugal 2;;;;;;;;;;;
Spain_LaLiga;Spain;La Liga;;;;;;;;;;;
Sweden_Allsvenskan;Sweden;Allsvenskan;;;;;;;;;;;
Sweden_Superettan;Sweden;Superettan;;;;;;;;;;;
Sweden_Division1_Norra;Sweden;Division 1 Norra;;;;;;;;;;;
Sweden_Division2_Norrland;Sweden;Division 2 Norrland;;;;;;;;;;;
Sweden_Division2_NorraGotaland;Sweden;Division 2 Norra Götaland;;;;;;;;;;;
Sweden_Division2_NorraSvealand;Sweden;Division 2 Norra Svealand;;;;;;;;;;;
Sweden_Division2_SodraGotaland;Sweden;Division 2 Södra Götaland;;;;;;;;;;;
Sweden_Division2_SodraSvealand;Sweden;Division 2 Södra Svealand;;;;;;;;;;;
Sweden_Division2_VastraGotaland;Sweden;Division 2 Västra Götaland;;;;;;;;;;;
Switzerland_SuperLeague;Switzerland;Super League;;;;;;;;;;;
Turkey_SuperLig;Turkey;Süper Lig;;;;;;;;;;;
