TeamId;LeagueId;CanonicalName;RealName;Aliases
AUS_CANTERBURY_BANKSTOWN;Australia_NSWLeagueOne;Canterbury Bankstown;Canterbury Bankstown FC;Canterbury Bankstown FC
AUS_NEWCASTLE_JETS_U23;Australia_NSWLeagueOne;Newcastle Jets U23;Newcastle Jets Youth;Newcastle Jets Youth
AUS_BULLS_ACADEMY;Australia_NSWLeagueOne;Bulls Academy;Northbridge FC Bulls;Northbridge FC Bulls
EST_TARTU_WELCO;Estonia_Esiliiga;Tartu Welco;Tartu JK Welco;Tartu JK Welco
GER_KOTTERN_ST_MANG;Germany_Oberliga_Bayern_Sud;Kottern-St. Mang;TSV Kottern;TSV Kottern
GER_SCHWABMUNCHEN;Germany_Oberliga_Bayern_Sud;Schwabmunchen;TSV Schwabmuenchen;TSV Schwabmuenchen
GER_GIESSEN;Germany_Oberliga_Hessen;Giessen;FC Giessen;FC Giessen
GER_KIEL_2;Germany_Oberliga_SchleswigHolstein;Kiel 2;Holstein Kiel 2;Holstein Kiel 2|Holstein Kiel II
GER_ELTERSDORF;Germany_Regionalliga_Bayern;Eltersdorf;SC Eltersdorf;SC Eltersdorf
GER_VILZING;Germany_Regionalliga_Bayern;Vilzing;DJK Vilzing;DJK Vilzing
GER_MEMMINGEN;Germany_Regionalliga_Bayern;Memmingen;FC Memmingen;FC Memmingen
GER_SC_WEICHE_08;Germany_Regionalliga_Nord;SC Weiche-08;SC Weiche Flensburg;SC Weiche Flensburg
GER_DROCHTERSEN_ASSEL;Germany_Regionalliga_Nord;Drochtersen/Assel;SV Drochtersen/Assel;SV Drochtersen/Assel
GER_ERFURT;Germany_Regionalliga_Nordost;Erfurt;RW Erfurt;RW Erfurt
GER_ZWICKAU;Germany_Regionalliga_Nordost;Zwickau;FSV Zwickau;FSV Zwickau
HUN_KECSKEMETI;Hungary_NBII;Kecskemeti;Kecskemeti TE;Kecskemeti TE
HUN_MEZOKOVESD;Hungary_NBII;Mezokovesd;Mezokovesd SE;Mezokovesd SE
ISL_KORMAKUR_HVOT;Iceland_Division_2;Kormakur/Hvot;Kormakur/Hvoet;Kormakur/Hvoet
ISL_SELFOSS;Iceland_Division_2;Selfoss;UMF Selfoss;UMF Selfoss
ISL_OLAFSVIK;Iceland_Division_2;Olafsvik;Vikingur Olafsvik;Vikingur Olafsvik
NOR_MJOENDALEN;Norway_2ndDivision_Group1;Mjoendalen;Mjoendalen;Mjondalen|Mjøndalen
NOR_KJELSAAS;Norway_2ndDivision_Group2;Kjelsaas;Kjelsaas;Kjelsås
NOR_VAALERENGA_IF_2;Norway_3rdDivision_Group1;Vaalerenga IF 2;Vaalerenga IF 2;Valerenga IF 2|Valerenga 2|Vålerenga IF 2|Vålerenga 2
NOR_BAERUM;Norway_3rdDivision_Group1;Baerum;Baerum;Brum|Bærum|Baerum Sportsklubb
NOR_FOERDE;Norway_3rdDivision_Group3;Foerde;Foerde;Frde|Førde
NOR_FLOEYA;Norway_3rdDivision_Group5;Floeya;Floeya;Flya|Fløya|Floya
NOR_SKJERVOEY;Norway_3rdDivision_Group5;Skjervoey;Skjervoey;Skjervy|Skjervøy
USA_BIRMINGHAM_LEGION;USA_USLChampionship;Birmingham Legion;Birmingham Legion;Birmingham
FIN_EPS_RESERVI;Finland_Kolmonen_Southern_Group1;EPS Reservi;EPS/Reservi;EPS/Reservi
FIN_POXYT;Finland_Kolmonen_Southern_Group1;Pöxyt;SexyPöxyt;SexyPöxyt|SexyPoxyt
FIN_LEPA;Finland_Kolmonen_Southern_Group1;LePa;Leppävaaran Pallo;Leppävaaran Pallo
FIN_TIPS;Finland_Kolmonen_Southern_Group2;TiPS;TiPS Vantaa;TiPS Vantaa
FIN_VALTTI;Finland_Kolmonen_Southern_Group2;Valtti;Puotinkylän Valtti;Puotinkylan Valtti
FIN_KONTU;Finland_Kolmonen_Southern_Group2;Kontu;FC Kontu;FC Kontu
FIN_LAAJASALON_PALLOSEURA;Finland_Kolmonen_Southern_Group2;Laajasalon Palloseura;LPS Helsinki;LPS Helsinki
