v20defThreshold;v22defThreshold;v25defThreshold;Tot;OK;KO;PercentOK;Wilson95Lower;NoAUTot;NoAUOK;NoAUKO;NoAUPercentOK;NoAUWilson95Lower;Months;WorstMonthPercentOK;MonthsBelow70;Rank
60.0;60.0;60.0;737;539;198;73.13;69.8202;562;418;144;74.38;70.6109;2;70.14;0;8376
60.0;60.0;61.0;733;535;198;72.99;69.6596;559;415;144;74.24;70.4576;2;70.0;0;8845
60.0;60.0;62.0;727;532;195;73.18;69.8412;554;412;142;74.37;70.5734;2;70.05;0;8288
60.0;60.0;63.0;716;527;189;73.6;70.2549;547;410;137;74.95;71.1578;2;70.09;0;7434
60.0;60.0;64.0;707;521;186;73.69;70.3242;539;405;134;75.14;71.321;2;69.95;1;7323
60.0;60.0;65.0;696;512;184;73.56;70.164;533;400;133;75.05;71.2026;2;69.86;1;7657
60.0;60.0;66.0;682;503;179;73.75;70.3251;522;393;129;75.29;71.4112;2;70.24;0;7316
60.0;60.0;67.0;670;497;173;74.18;70.7339;514;389;125;75.68;71.7904;2;71.5;0;5966
60.0;60.0;68.0;659;490;169;74.36;70.8866;506;383;123;75.69;71.7697;2;71.43;0;5412
60.0;60.0;69.0;652;486;166;74.54;71.0589;502;381;121;75.9;71.9672;2;71.43;0;4931
60.0;60.0;70.0;633;476;157;75.2;71.6878;488;374;114;76.64;72.686;2;72.34;0;3418
60.0;60.0;71.0;611;462;149;75.61;72.0557;471;362;109;76.86;72.8408;2;72.68;0;2683
60.0;60.0;72.0;586;445;141;75.94;72.3158;449;346;103;77.06;72.9513;2;72.78;0;2071
60.0;60.0;73.0;560;423;137;75.54;71.8092;429;329;100;76.69;72.4629;2;71.51;0;3130
60.0;60.0;74.0;534;406;128;76.03;72.2313;410;315;95;76.83;72.5075;2;71.69;0;2274
60.0;60.0;75.0;511;388;123;75.93;72.0381;392;300;92;76.53;72.0901;2;70.7;0;2730
60.0;60.0;76.0;478;364;114;76.15;72.1312;371;284;87;76.55;71.9799;2;71.03;0;2504
60.0;60.0;77.0;442;339;103;76.7;72.5358;344;264;80;76.74;71.9993;2;71.64;0;1745
60.0;60.0;78.0;418;320;98;76.56;72.2631;330;255;75;77.27;72.4525;2;70.4;0;2216
60.0;60.0;79.0;383;293;90;76.5;72.0048;303;234;69;77.23;72.1821;2;70.34;0;2855
60.0;60.0;80.0;349;270;79;77.36;72.6893;277;214;63;77.26;71.9668;2;72.12;0;1655
60.0;60.0;81.0;313;243;70;77.64;72.7003;254;198;56;77.95;72.4589;2;73.4;0;1569
60.0;60.0;82.0;291;224;67;76.98;71.8062;239;184;55;76.99;71.2493;2;73.56;0;3146
60.0;60.0;83.0;251;192;59;76.49;70.8731;209;161;48;77.03;70.8737;2;73.53;0;5480
60.0;60.0;84.0;219;165;54;75.34;69.2296;186;141;45;75.81;69.1698;2;71.19;0;9507
60.0;60.0;85.0;192;145;47;75.52;68.9775;166;127;39;76.51;69.5022;2;70.37;0;9862
60.0;60.0;86.0;175;132;43;75.43;68.5491;154;117;37;75.97;68.6467;2;68.09;1;10438
60.0;60.0;87.0;154;116;38;75.32;67.9543;137;103;34;75.18;67.3287;2;65.85;1;11245
60.0;60.0;88.0;136;103;33;75.74;67.8881;124;93;31;75.0;66.7051;2;65.71;1;11407
60.0;60.0;89.0;119;90;29;75.63;67.1945;109;81;28;74.31;65.3804;2;64.52;1;12456
60.0;60.0;90.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14836
60.0;61.0;60.0;733;535;198;72.99;69.6596;559;415;144;74.24;70.4576;2;70.0;0;8846
60.0;61.0;61.0;733;535;198;72.99;69.6596;559;415;144;74.24;70.4576;2;70.0;0;8847
60.0;61.0;62.0;727;532;195;73.18;69.8412;554;412;142;74.37;70.5734;2;70.05;0;8289
60.0;61.0;63.0;716;527;189;73.6;70.2549;547;410;137;74.95;71.1578;2;70.09;0;7435
60.0;61.0;64.0;707;521;186;73.69;70.3242;539;405;134;75.14;71.321;2;69.95;1;7324
60.0;61.0;65.0;696;512;184;73.56;70.164;533;400;133;75.05;71.2026;2;69.86;1;7658
60.0;61.0;66.0;682;503;179;73.75;70.3251;522;393;129;75.29;71.4112;2;70.24;0;7317
60.0;61.0;67.0;670;497;173;74.18;70.7339;514;389;125;75.68;71.7904;2;71.5;0;5967
60.0;61.0;68.0;659;490;169;74.36;70.8866;506;383;123;75.69;71.7697;2;71.43;0;5413
60.0;61.0;69.0;652;486;166;74.54;71.0589;502;381;121;75.9;71.9672;2;71.43;0;4932
60.0;61.0;70.0;633;476;157;75.2;71.6878;488;374;114;76.64;72.686;2;72.34;0;3419
60.0;61.0;71.0;611;462;149;75.61;72.0557;471;362;109;76.86;72.8408;2;72.68;0;2684
60.0;61.0;72.0;586;445;141;75.94;72.3158;449;346;103;77.06;72.9513;2;72.78;0;2072
60.0;61.0;73.0;560;423;137;75.54;71.8092;429;329;100;76.69;72.4629;2;71.51;0;3131
60.0;61.0;74.0;534;406;128;76.03;72.2313;410;315;95;76.83;72.5075;2;71.69;0;2275
60.0;61.0;75.0;511;388;123;75.93;72.0381;392;300;92;76.53;72.0901;2;70.7;0;2731
60.0;61.0;76.0;478;364;114;76.15;72.1312;371;284;87;76.55;71.9799;2;71.03;0;2505
60.0;61.0;77.0;442;339;103;76.7;72.5358;344;264;80;76.74;71.9993;2;71.64;0;1746
60.0;61.0;78.0;418;320;98;76.56;72.2631;330;255;75;77.27;72.4525;2;70.4;0;2217
60.0;61.0;79.0;383;293;90;76.5;72.0048;303;234;69;77.23;72.1821;2;70.34;0;2856
60.0;61.0;80.0;349;270;79;77.36;72.6893;277;214;63;77.26;71.9668;2;72.12;0;1656
60.0;61.0;81.0;313;243;70;77.64;72.7003;254;198;56;77.95;72.4589;2;73.4;0;1570
60.0;61.0;82.0;291;224;67;76.98;71.8062;239;184;55;76.99;71.2493;2;73.56;0;3147
60.0;61.0;83.0;251;192;59;76.49;70.8731;209;161;48;77.03;70.8737;2;73.53;0;5481
60.0;61.0;84.0;219;165;54;75.34;69.2296;186;141;45;75.81;69.1698;2;71.19;0;9508
60.0;61.0;85.0;192;145;47;75.52;68.9775;166;127;39;76.51;69.5022;2;70.37;0;9863
60.0;61.0;86.0;175;132;43;75.43;68.5491;154;117;37;75.97;68.6467;2;68.09;1;10439
60.0;61.0;87.0;154;116;38;75.32;67.9543;137;103;34;75.18;67.3287;2;65.85;1;11246
60.0;61.0;88.0;136;103;33;75.74;67.8881;124;93;31;75.0;66.7051;2;65.71;1;11408
60.0;61.0;89.0;119;90;29;75.63;67.1945;109;81;28;74.31;65.3804;2;64.52;1;12457
60.0;61.0;90.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14837
60.0;62.0;60.0;727;532;195;73.18;69.8412;554;412;142;74.37;70.5734;2;70.05;0;8290
60.0;62.0;61.0;727;532;195;73.18;69.8412;554;412;142;74.37;70.5734;2;70.05;0;8291
60.0;62.0;62.0;727;532;195;73.18;69.8412;554;412;142;74.37;70.5734;2;70.05;0;8292
60.0;62.0;63.0;716;527;189;73.6;70.2549;547;410;137;74.95;71.1578;2;70.09;0;7436
60.0;62.0;64.0;707;521;186;73.69;70.3242;539;405;134;75.14;71.321;2;69.95;1;7325
60.0;62.0;65.0;696;512;184;73.56;70.164;533;400;133;75.05;71.2026;2;69.86;1;7659
60.0;62.0;66.0;682;503;179;73.75;70.3251;522;393;129;75.29;71.4112;2;70.24;0;7318
60.0;62.0;67.0;670;497;173;74.18;70.7339;514;389;125;75.68;71.7904;2;71.5;0;5968
60.0;62.0;68.0;659;490;169;74.36;70.8866;506;383;123;75.69;71.7697;2;71.43;0;5414
60.0;62.0;69.0;652;486;166;74.54;71.0589;502;381;121;75.9;71.9672;2;71.43;0;4933
60.0;62.0;70.0;633;476;157;75.2;71.6878;488;374;114;76.64;72.686;2;72.34;0;3420
60.0;62.0;71.0;611;462;149;75.61;72.0557;471;362;109;76.86;72.8408;2;72.68;0;2685
60.0;62.0;72.0;586;445;141;75.94;72.3158;449;346;103;77.06;72.9513;2;72.78;0;2073
60.0;62.0;73.0;560;423;137;75.54;71.8092;429;329;100;76.69;72.4629;2;71.51;0;3132
60.0;62.0;74.0;534;406;128;76.03;72.2313;410;315;95;76.83;72.5075;2;71.69;0;2276
60.0;62.0;75.0;511;388;123;75.93;72.0381;392;300;92;76.53;72.0901;2;70.7;0;2732
60.0;62.0;76.0;478;364;114;76.15;72.1312;371;284;87;76.55;71.9799;2;71.03;0;2506
60.0;62.0;77.0;442;339;103;76.7;72.5358;344;264;80;76.74;71.9993;2;71.64;0;1747
60.0;62.0;78.0;418;320;98;76.56;72.2631;330;255;75;77.27;72.4525;2;70.4;0;2218
60.0;62.0;79.0;383;293;90;76.5;72.0048;303;234;69;77.23;72.1821;2;70.34;0;2857
60.0;62.0;80.0;349;270;79;77.36;72.6893;277;214;63;77.26;71.9668;2;72.12;0;1657
60.0;62.0;81.0;313;243;70;77.64;72.7003;254;198;56;77.95;72.4589;2;73.4;0;1571
60.0;62.0;82.0;291;224;67;76.98;71.8062;239;184;55;76.99;71.2493;2;73.56;0;3148
60.0;62.0;83.0;251;192;59;76.49;70.8731;209;161;48;77.03;70.8737;2;73.53;0;5482
60.0;62.0;84.0;219;165;54;75.34;69.2296;186;141;45;75.81;69.1698;2;71.19;0;9509
60.0;62.0;85.0;192;145;47;75.52;68.9775;166;127;39;76.51;69.5022;2;70.37;0;9864
60.0;62.0;86.0;175;132;43;75.43;68.5491;154;117;37;75.97;68.6467;2;68.09;1;10440
60.0;62.0;87.0;154;116;38;75.32;67.9543;137;103;34;75.18;67.3287;2;65.85;1;11247
60.0;62.0;88.0;136;103;33;75.74;67.8881;124;93;31;75.0;66.7051;2;65.71;1;11409
60.0;62.0;89.0;119;90;29;75.63;67.1945;109;81;28;74.31;65.3804;2;64.52;1;12458
60.0;62.0;90.0;96;72;24;75.0;65.49;88;65;23;73.86;63.824;2;62.96;1;14838
60.0;63.0;60.0;718;527;191;73.4;70.0479;549;410;139;74.68;70.8809;2;69.77;1;7923
60.0;63.0;61.0;718;527;191;73.4;70.0479;549;410;139;74.68;70.8809;2;69.77;1;7924
60.0;63.0;62.0;718;527;191;73.4;70.0479;549;410;139;74.68;70.8809;2;69.77;1;7925
60.0;63.0;63.0;716;527;189;73.6;70.2549;547;410;137;74.95;71.1578;2;70.09;0;7437
60.0;63.0;64.0;707;521;186;73.69;70.3242;539;405;134;75.14;71.321;2;69.95;1;7326
60.0;63.0;65.0;696;512;184;73.56;70.164;533;400;133;75.05;71.2026;2;69.86;1;7660
60.0;63.0;66.0;682;503;179;73.75;70.3251;522;393;129;75.29;71.4112;2;70.24;0;7319
60.0;63.0;67.0;670;497;173;74.18;70.7339;514;389;125;75.68;71.7904;2;71.5;0;5969
60.0;63.0;68.0;659;490;169;74.36;70.8866;506;383;123;75.69;71.7697;2;71.43;0;5415
60.0;63.0;69.0;652;486;166;74.54;71.0589;502;381;121;75.9;71.9672;2;71.43;0;4934
60.0;63.0;70.0;633;476;157;75.2;71.6878;488;374;114;76.64;72.686;2;72.34;0;3421
60.0;63.0;71.0;611;462;149;75.61;72.0557;471;362;109;76.86;72.8408;2;72.68;0;2686
60.0;63.0;72.0;586;445;141;75.94;72.3158;449;346;103;77.06;72.9513;2;72.78;0;2074
60.0;63.0;73.0;560;423;137;75.54;71.8092;429;329;100;76.69;72.4629;2;71.51;0;3133
60.0;63.0;74.0;534;406;128;76.03;72.2313;410;315;95;76.83;72.5075;2;71.69;0;2277
60.0;63.0;75.0;511;388;123;75.93;72.0381;392;300;92;76.53;72.0901;2;70.7;0;2733
60.0;63.0;76.0;478;364;114;76.15;72.1312;371;284;87;76.55;71.9799;2;71.03;0;2507
60.0;63.0;77.0;442;339;103;76.7;72.5358;344;264;80;76.74;71.9993;2;71.64;0;1748
