Rank;Engine;LeagueId;OK;KO;FirstMatchDate;LastMatchDate;Total;HitRate
1;v31;Austria_Salzburg;4;2;2026-09-18;2026-09-25;6;66.67
2;v31;Austria_Karnten;3;0;2026-09-18;2026-09-25;3;100.0
3;v31;Germany_Oberliga_SchleswigHolstein;3;0;2026-09-12;2026-09-20;3;100.0
4;v31;Germany_Oberliga_Hamburg;2;0;2026-09-20;2026-09-20;2;100.0
5;v31;Germany_Regionalliga_Nordost;2;0;2026-09-13;2026-09-16;2;100.0
6;v31;Austria_Regionalliga_North;2;1;2026-09-19;2026-09-25;3;66.67
7;v31;Austria_Regionalliga_West;2;1;2026-09-18;2026-09-20;3;66.67
8;v31;Poland_Division2;2;1;2026-09-12;2026-09-19;3;66.67
9;v31;Poland_IIILiga_Group1;2;1;2026-09-12;2026-09-19;3;66.67
10;v31;Austria_Burgenland;1;0;2026-09-25;2026-09-25;1;100.0
11;v31;Austria_Tirol;1;0;2026-09-19;2026-09-19;1;100.0
12;v31;CzechRepublic_1Liga;1;0;2026-09-20;2026-09-20;1;100.0
13;v31;England_SouthernLeaguePremierSouth;1;0;2026-09-22;2026-09-22;1;100.0
14;v31;Germany_Oberliga_Hessen;1;0;2026-09-12;2026-09-12;1;100.0
15;v31;Germany_Regionalliga_Nord;1;0;2026-09-15;2026-09-15;1;100.0
16;v31;Switzerland_PromotionLeague;1;0;2026-09-19;2026-09-19;1;100.0
17;v31;Turkey_1Lig;1;0;2026-09-19;2026-09-19;1;100.0
18;v31;CzechRepublic_4Liga_GroupB;1;1;2026-09-25;2026-09-25;2;50.0
19;v31;Germany_Oberliga_RheinlandPfalzSaar;1;1;2026-09-17;2026-09-19;2;50.0
20;v31;Mexico_LigaExpansionMX_Apertura;1;1;2026-09-13;2026-09-21;2;50.0
21;v31;Switzerland_SuperLeague;1;1;2026-09-13;2026-09-19;2;50.0
22;v31;NorthernIreland_NIFLChampionship;1;2;2026-09-18;2026-09-25;3;33.33
23;v31;Poland_IIILiga_Group2;1;2;2026-09-12;2026-09-19;3;33.33
24;v31;Austria_Oberosterreich;0;1;2026-09-18;2026-09-18;1;0.0
25;v31;England_SouthernLeaguePremierCentral;0;1;2026-09-22;2026-09-22;1;0.0
26;v31;Germany_Oberliga_BadenWurttemberg;0;1;2026-09-19;2026-09-19;1;0.0
27;v31;Germany_Regionalliga_Sudwest;0;1;2026-09-19;2026-09-19;1;0.0
28;v31;Germany_Regionalliga_West;0;1;2026-09-12;2026-09-12;1;0.0
29;v31;Moldova_Liga1_GroupA;0;1;2026-09-18;2026-09-18;1;0.0
30;v31;Wales_CymruPremier;0;1;2026-09-18;2026-09-18;1;0.0
